"title","artist","bpm","bsc_level","adv_level","ext_level","bsc_note","adv_note","ext_note"
"↑↑↓↓←→←→BA","meiyo","124","3","7","9.0","276","680","763"
"泡沫、哀のまほろば","幽閉サテライト","155","2","5","9.3","133","365","608"
"X-ray binary","BEMANI Sound Team ""Trance Liquid""","150","3","9.5","10.4","318","754","925"
"おーまい！らぶりー！すうぃーてぃ！だーりん！","BEMANI Sound Team ""PON"" feat.NU-KO","170","4","7","9.6","244","448","844"
"ケムマキunderground","t+pazolite feat. リズナ","200","3","8","9.5","240","599","862"
"紅蓮華","(LiSA)","135","2","5","8","112","325","511"
"ゴーストルール","DECO*27","210","2","7","9.2","134","539","734"
"ここからよろしく大作戦143","BEMANI Sound Team ""あさき隊""","184","4","7","9.3","360","680","978"
"最凶アンビバレント","森羅万象","178","3","6","9.6","232","336","614"
"最小三倍完全数","DJ TECHNORCH","220","5","7","10.3","335","475","666"
"39","sasakure.UK＆DECO*27","175","3","6","8","116","339","439"
"思想犯","ヨルシカ","200","2","8","9.1","157","592","786"
"Six String Proof","BEMANI Sound Team ""Yvya × Mutsuhiko Izumi""","130","4","6","9.5","187","383","736"
"シル・ヴ・プレジデント","P丸様。","176","3","7","9.3","221","401","591"
"「Sweet Love」","ときめきメモリアル Girl's Side 4th Heart","135","2","5","7","165","305","427"
"すきなことだけでいいです","ピノキオピー","140","4","8","9.5","192","571","773"
"全力ハッピーライフ","森羅万象","190","3","7","9.3","283","543","853"
"turn into white","BEMANI Sound Team ""S-C-U & TATSUYA""","186","3","7","9.0","242","492","687"
"高嶺の花子さん","back number","87-138","2","5","8","121","334","566"
"ただ君に晴れ","ヨルシカ","140","1","6","8","87","340","481"
"DEATH WORMHOLE","SOUND HOLIC feat.Nana Takahashi","137","4","7","9.2","264","446","730"
"デンノウス・キルズ","cosMo@暴走P feat.初音ミク","217","3","7","9.1","182","430","609"
"toy boxer","BEMANI Sound Team ""S-C-U & SYUNN""","190","8","9.5","10.5","571","693","736"
"Do Well","SIRUP","116","2","6","8","156","426","593"
"ドラマツルギー","Eve","149","2","6","9.2","140","385","631"
"Triple Cross","BEMANI Sound Team""dj TAKA & DJ YOSHITAKA & SYUNN""","196","4","8","10.3","214","515","819"
"Trill auf G","BEMANI Sound Team ""dj TAKA""","188","4","7","10.5","194","400","772"
